Author,Content
samwise,"

                        爱是影响。是我被你影响，是我想影响你。是我想你不成为我，是我想你过得比我好，是尽我之力托举你。是为你留下，是规训你不能偷，是说一句“少抽点”。 有的孩子没有好好做过孩子，就先做了父母。在最初的最初，父母都想自己的娃是个“福蛋蛋”；最后的最后，却又离开。 大二...

                         ("
疾风,简评内容可能剧透!!!
图克,简评内容可能剧透!!!
卷卷猫猫头🐱,简评内容可能剧透!!!
Bazinga,"

                        幽灵，它因肉身被抽取而被构造，在电影的象征系统里，它总是颓为意喻的咒语而流转于空气中，人物下意识阅读着空气，由此卷涉入虚渺游离的、不可捉摸却无孔不入的灵场。在本片中，当肉身被归还给幽灵，幽灵也就不复存在，一种庞大的郁滞实体出现了，它被冠以具体的指称，游弋灵...

                         ("
hahawa,"

                        非常有立意的一部电影，讨论社会真真切切存在的一个问题：生而不养，养而不教，确实值得我们去关注。在社会的底层有一群孩子出于某种原因被“遗弃”，成为了野孩子，但野孩子不是垃圾山，问题不在于他们本身。影片中三字弟弟演的马亮与小孩相互救赎，虽然经历相似，但结局却完...

                         ("
Aki,"

                        《野孩子》从立项，到定档，到撤档，到今天我看完成片，可以说是一段非常莫名其妙的过程，每一环都因为各种各样的原因导致了十分奇幻的错位。 总的来讲整体的感受是非常失望、怒其不争的，尤其是更令人扼腕叹息的是，这部质量较差的电影中确实还存在着很多明明可以严肃展开、大...

                         ("
纳兹铃,"

                        https://www.alipan.com/s/jgvr7dud1RA 有「弑父前科」的少年大和及「心脏里装了心仪器」的少女薰在一场偶然相遇下，两人并了解彼此的处境，进而相知相惜。在该月14日在浦安市舞滨的一栋公寓里发生了一起沙人事件，千叶县警探查出嫌犯为被害者-松浦康三(46岁)所经营的广告公司...

                         ("
食通社,简评内容可能剧透!!!
石新雨,"

                        在《哀悼基督》的上空，乔托画了十个哭泣的小天使。他们的姿态各不相同，多数是朝下的，一边⻜，一边把头往下探，很关切的模样，但还有个绿袍的小家伙，正撑着身体抬头哀嚎。以及一位穿粉色袍子的，他伤心得把头扭了过去，两手攥在脖子边。再看左上角的那个天使，他的衣服和...

                         ("
